o_node,d_node,origin,destination,travel_time,iteration
1524-0-4-7,1486-0-99-99,1524,1486,130.0,0
1531-0-4-7,1490-0-99-99,1531,1490,61.0,0
1366-0-4-7,1492-0-99-99,1366,1492,164.0,0
1579-0-4-7,1492-0-99-99,1579,1492,38.0,0
1513-0-4-7,1503-0-99-99,1513,1503,42.0,0
1021-0-4-7,1519-0-99-99,1021,1519,49.0,0
1495-0-4-7,1529-0-99-99,1495,1529,135.0,0
1428-0-4-7,1530-0-99-99,1428,1530,107.0,0
1443-0-4-7,1530-0-99-99,1443,1530,107.0,0
1577-0-4-7,1536-0-99-99,1577,1536,84.0,0
1569-0-4-7,1543-0-99-99,1569,1543,143.0,0
1182-0-4-7,1544-0-99-99,1182,1544,137.0,0
1021-0-4-7,1545-0-99-99,1021,1545,57.0,0
1515-0-4-7,1561-0-99-99,1515,1561,54.0,0
1245-0-4-7,1582-0-99-99,1245,1582,60.0,0
1154-0-4-7,1599-0-99-99,1154,1599,104.0,0
1562-0-4-7,1607-0-99-99,1562,1607,54.0,0
1436-0-4-7,1081-0-99-99,1436,1081,139.0,0
1506-0-4-7,1002-0-99-99,1506,1002,65.0,1
1126-0-4-7,1006-0-99-99,1126,1006,94.0,1
1243-0-4-7,1021-0-99-99,1243,1021,80.0,1
1382-0-4-7,1021-0-99-99,1382,1021,101.0,1
1571-0-4-7,1021-0-99-99,1571,1021,178.0,1
1232-0-4-7,1022-0-99-99,1232,1022,84.0,1
1175-0-4-7,1023-0-99-99,1175,1023,82.0,1
1018-0-4-7,1034-0-99-99,1018,1034,33.0,1
1518-0-4-7,1034-0-99-99,1518,1034,116.0,1
1590-0-4-7,1034-0-99-99,1590,1034,116.0,1
1250-0-4-7,1035-0-99-99,1250,1035,66.0,1
1214-0-4-7,1036-0-99-99,1214,1036,42.0,1
1219-0-4-7,1036-0-99-99,1219,1036,109.0,1
1574-0-4-7,1036-0-99-99,1574,1036,195.0,1
1591-0-4-7,1036-0-99-99,1591,1036,149.0,1
1131-0-4-7,1037-0-99-99,1131,1037,120.0,1
1238-0-4-7,1037-0-99-99,1238,1037,69.0,1
1285-0-4-7,1037-0-99-99,1285,1037,45.0,1
1406-0-4-7,1037-0-99-99,1406,1037,120.0,1
1131-0-4-7,1038-0-99-99,1131,1038,113.0,1
1389-0-4-7,1038-0-99-99,1389,1038,138.0,1
1422-0-4-7,1038-0-99-99,1422,1038,82.0,1
1559-0-4-7,1038-0-99-99,1559,1038,158.0,1
1076-0-4-7,1042-0-99-99,1076,1042,42.0,1
1245-0-4-7,1042-0-99-99,1245,1042,53.0,1
1090-0-4-7,1043-0-99-99,1090,1043,44.0,1
1427-0-4-7,1043-0-99-99,1427,1043,97.0,1
1250-0-4-7,1045-0-99-99,1250,1045,42.0,1
1214-0-4-7,1046-0-99-99,1214,1046,30.0,1
1411-0-4-7,1046-0-99-99,1411,1046,130.0,1
1313-0-4-7,1047-0-99-99,1313,1047,97.0,1
1520-0-4-7,1047-0-99-99,1520,1047,53.0,1
1574-0-4-7,1049-0-99-99,1574,1049,191.0,1
1252-0-4-7,1050-0-99-99,1252,1050,50.0,1
1522-0-4-7,1050-0-99-99,1522,1050,94.0,1
1280-0-4-7,1051-0-99-99,1280,1051,53.0,1
1328-0-4-7,1051-0-99-99,1328,1051,109.0,1
1266-0-4-7,1052-0-99-99,1266,1052,44.0,1
1447-0-4-7,1052-0-99-99,1447,1052,139.0,1
1464-0-4-7,1052-0-99-99,1464,1052,139.0,1
1495-0-4-7,1052-0-99-99,1495,1052,159.0,1
1538-0-4-7,1052-0-99-99,1538,1052,62.0,1
1591-0-4-7,1055-0-99-99,1591,1055,153.0,1
1425-0-4-7,1056-0-99-99,1425,1056,130.0,1
1444-0-4-7,1056-0-99-99,1444,1056,115.0,1
1619-0-4-7,1056-0-99-99,1619,1056,150.0,1
1200-0-4-7,1057-0-99-99,1200,1057,42.0,1
1277-0-4-7,1057-0-99-99,1277,1057,47.0,1
1539-0-4-7,1057-0-99-99,1539,1057,79.0,1
1601-0-4-7,1057-0-99-99,1601,1057,152.0,1
1122-0-4-7,1058-0-99-99,1122,1058,53.0,1
1270-0-4-7,1058-0-99-99,1270,1058,49.0,1
1450-0-4-7,1058-0-99-99,1450,1058,121.0,1
1411-0-4-7,1059-0-99-99,1411,1059,139.0,1
1090-0-4-7,1060-0-99-99,1090,1060,32.0,1
1484-0-4-7,1062-0-99-99,1484,1062,136.0,1
1544-0-4-7,1063-0-99-99,1544,1063,83.0,1
1621-0-4-7,1063-0-99-99,1621,1063,166.0,1
1110-0-4-7,1065-0-99-99,1110,1065,44.0,1
1122-0-4-7,1065-0-99-99,1122,1065,44.0,1
1202-0-4-7,1065-0-99-99,1202,1065,42.0,1
1424-0-4-7,1065-0-99-99,1424,1065,112.0,1
1572-0-4-7,1065-0-99-99,1572,1065,204.0,1
1122-0-4-7,1066-0-99-99,1122,1066,44.0,1
1263-0-4-7,1067-0-99-99,1263,1067,65.0,1
1120-0-4-7,1068-0-99-99,1120,1068,50.0,1
1330-0-4-7,1068-0-99-99,1330,1068,111.0,1
1602-0-4-7,1068-0-99-99,1602,1068,153.0,1
1606-0-4-7,1068-0-99-99,1606,1068,98.0,1
1483-0-4-7,1070-0-99-99,1483,1070,86.0,1
1510-0-4-7,1076-0-99-99,1510,1076,110.0,1
1600-0-4-7,1076-0-99-99,1600,1076,170.0,1
1039-0-4-7,1078-0-99-99,1039,1078,41.0,1
1524-0-4-7,1078-0-99-99,1524,1078,125.0,1
1562-0-4-7,1078-0-99-99,1562,1078,172.0,1
1365-0-4-7,1080-0-99-99,1365,1080,130.0,1
1143-0-4-7,1085-0-99-99,1143,1085,88.0,1
1513-0-4-7,1090-0-99-99,1513,1090,125.0,1
1132-0-4-7,1104-0-99-99,1132,1104,74.0,1
1389-0-4-7,1113-0-99-99,1389,1113,124.0,1
1286-0-4-7,1114-0-99-99,1286,1114,42.0,1
1022-0-4-7,1116-0-99-99,1022,1116,57.0,1
1400-0-4-7,1118-0-99-99,1400,1118,121.0,1
1116-0-4-7,1124-0-99-99,1116,1124,27.0,1
1412-0-4-7,1139-0-99-99,1412,1139,64.0,1
1524-0-4-7,1141-0-99-99,1524,1141,141.0,1
1046-0-4-7,1142-0-99-99,1046,1142,71.0,1
1130-0-4-7,1145-0-99-99,1130,1145,35.0,1
1153-0-4-7,1146-0-99-99,1153,1146,48.0,1
1382-0-4-7,1150-0-99-99,1382,1150,116.0,1
1133-0-4-7,1156-0-99-99,1133,1156,54.0,1
1572-0-4-7,1157-0-99-99,1572,1157,219.0,1
1544-0-4-7,1160-0-99-99,1544,1160,112.0,1
1176-0-4-7,1168-0-99-99,1176,1168,41.0,1
1212-0-4-7,1170-0-99-99,1212,1170,61.0,1
1588-0-4-7,1180-0-99-99,1588,1180,148.0,1
1595-0-4-7,1187-0-99-99,1595,1187,96.0,1
1186-0-4-7,1202-0-99-99,1186,1202,30.0,1
1223-0-4-7,1203-0-99-99,1223,1203,66.0,1
1139-0-4-7,1211-0-99-99,1139,1211,75.0,1
1166-0-4-7,1218-0-99-99,1166,1218,103.0,1
1523-0-4-7,1218-0-99-99,1523,1218,87.0,1
1554-0-4-7,1218-0-99-99,1554,1218,151.0,1
1620-0-4-7,1220-0-99-99,1620,1220,139.0,1
1197-0-4-7,1227-0-99-99,1197,1227,32.0,1
1233-0-4-7,1227-0-99-99,1233,1227,54.0,1
1560-0-4-7,1243-0-99-99,1560,1243,128.0,1
1575-0-4-7,1243-0-99-99,1575,1243,181.0,1
1224-0-4-7,1247-0-99-99,1224,1247,70.0,1
1251-0-4-7,1247-0-99-99,1251,1247,54.0,1
1524-0-4-7,1253-0-99-99,1524,1253,66.0,1
1383-0-4-7,1260-0-99-99,1383,1260,131.0,1
1110-0-4-7,1272-0-99-99,1110,1272,63.0,1
1250-0-4-7,1275-0-99-99,1250,1275,30.0,1
1144-0-4-7,1277-0-99-99,1144,1277,100.0,1
1347-0-4-7,1285-0-99-99,1347,1285,120.0,1
1431-0-4-7,1285-0-99-99,1431,1285,133.0,1
1544-0-4-7,1298-0-99-99,1544,1298,127.0,1
1131-0-4-7,1299-0-99-99,1131,1299,95.0,1
1271-0-4-7,1307-0-99-99,1271,1307,85.0,1
1290-0-4-7,1307-0-99-99,1290,1307,32.0,1
1353-0-4-7,1307-0-99-99,1353,1307,39.0,1
1458-0-4-7,1313-0-99-99,1458,1313,125.0,1
1124-0-4-7,1317-0-99-99,1124,1317,34.0,1
1326-0-4-7,1317-0-99-99,1326,1317,86.0,1
1133-0-4-7,1331-0-99-99,1133,1331,110.0,1
1177-0-4-7,1355-0-99-99,1177,1355,131.0,1
1110-0-4-7,1356-0-99-99,1110,1356,150.0,1
1039-0-4-7,1357-0-99-99,1039,1357,154.0,1
1385-0-4-7,1358-0-99-99,1385,1358,137.0,1
1021-0-4-7,1361-0-99-99,1021,1361,160.0,1
1062-0-4-7,1371-0-99-99,1062,1371,157.0,1
1173-0-4-7,1378-0-99-99,1173,1378,164.0,1
1232-0-4-7,1378-0-99-99,1232,1378,164.0,1
1342-0-4-7,1378-0-99-99,1342,1378,139.0,1
1351-0-4-7,1379-0-99-99,1351,1379,133.0,1
1021-0-4-7,1386-0-99-99,1021,1386,156.0,1
1249-0-4-7,1388-0-99-99,1249,1388,140.0,1
1396-0-4-7,1388-0-99-99,1396,1388,68.0,1
1538-0-4-7,1388-0-99-99,1538,1388,154.0,1
1445-0-4-7,1391-0-99-99,1445,1391,59.0,1
1265-0-4-7,1393-0-99-99,1265,1393,117.0,1
1531-0-4-7,1393-0-99-99,1531,1393,115.0,1
1173-0-4-7,1394-0-99-99,1173,1394,81.0,1
1401-0-4-7,1395-0-99-99,1401,1395,29.0,1
1140-0-4-7,1402-0-99-99,1140,1402,43.0,1
1173-0-4-7,1402-0-99-99,1173,1402,138.0,1
1400-0-4-7,1402-0-99-99,1400,1402,43.0,1
1415-0-4-7,1402-0-99-99,1415,1402,69.0,1
1423-0-4-7,1411-0-99-99,1423,1411,42.0,1
1407-0-4-7,1415-0-99-99,1407,1415,48.0,1
1606-0-4-7,1415-0-99-99,1606,1415,152.0,1
1381-0-4-7,1421-0-99-99,1381,1421,88.0,1
1041-0-4-7,1423-0-99-99,1041,1423,98.0,1
1062-0-4-7,1442-0-99-99,1062,1442,132.0,1
1482-0-4-7,1472-0-99-99,1482,1472,84.0,1
1538-0-4-7,1476-0-99-99,1538,1476,137.0,1
1583-0-4-7,1481-0-99-99,1583,1481,59.0,1
1524-0-4-7,1486-0-99-99,1524,1486,130.0,1
1531-0-4-7,1490-0-99-99,1531,1490,61.0,1
1366-0-4-7,1492-0-99-99,1366,1492,164.0,1
1579-0-4-7,1492-0-99-99,1579,1492,38.0,1
1513-0-4-7,1503-0-99-99,1513,1503,42.0,1
1021-0-4-7,1519-0-99-99,1021,1519,49.0,1
1495-0-4-7,1529-0-99-99,1495,1529,135.0,1
1428-0-4-7,1530-0-99-99,1428,1530,107.0,1
1443-0-4-7,1530-0-99-99,1443,1530,107.0,1
1577-0-4-7,1536-0-99-99,1577,1536,134.0,1
1569-0-4-7,1543-0-99-99,1569,1543,160.0,1
1182-0-4-7,1544-0-99-99,1182,1544,137.0,1
1021-0-4-7,1545-0-99-99,1021,1545,57.0,1
1515-0-4-7,1561-0-99-99,1515,1561,54.0,1
1245-0-4-7,1582-0-99-99,1245,1582,60.0,1
1154-0-4-7,1599-0-99-99,1154,1599,104.0,1
1562-0-4-7,1607-0-99-99,1562,1607,54.0,1
1436-0-4-7,1081-0-99-99,1436,1081,139.0,1
1506-0-4-7,1002-0-99-99,1506,1002,101.0,2
1126-0-4-7,1006-0-99-99,1126,1006,100.0,2
1243-0-4-7,1021-0-99-99,1243,1021,80.0,2
1382-0-4-7,1021-0-99-99,1382,1021,182.0,2
1571-0-4-7,1021-0-99-99,1571,1021,178.0,2
1232-0-4-7,1022-0-99-99,1232,1022,84.0,2
1175-0-4-7,1023-0-99-99,1175,1023,82.0,2
1018-0-4-7,1034-0-99-99,1018,1034,33.0,2
1518-0-4-7,1034-0-99-99,1518,1034,116.0,2
1590-0-4-7,1034-0-99-99,1590,1034,165.0,2
1250-0-4-7,1035-0-99-99,1250,1035,66.0,2
1214-0-4-7,1036-0-99-99,1214,1036,42.0,2
1219-0-4-7,1036-0-99-99,1219,1036,109.0,2
1574-0-4-7,1036-0-99-99,1574,1036,195.0,2
1591-0-4-7,1036-0-99-99,1591,1036,167.0,2
1131-0-4-7,1037-0-99-99,1131,1037,120.0,2
1238-0-4-7,1037-0-99-99,1238,1037,72.0,2
1285-0-4-7,1037-0-99-99,1285,1037,45.0,2
1406-0-4-7,1037-0-99-99,1406,1037,120.0,2
1131-0-4-7,1038-0-99-99,1131,1038,113.0,2
1389-0-4-7,1038-0-99-99,1389,1038,138.0,2
1422-0-4-7,1038-0-99-99,1422,1038,83.0,2
1559-0-4-7,1038-0-99-99,1559,1038,158.0,2
1076-0-4-7,1042-0-99-99,1076,1042,42.0,2
1245-0-4-7,1042-0-99-99,1245,1042,53.0,2
1090-0-4-7,1043-0-99-99,1090,1043,44.0,2
1427-0-4-7,1043-0-99-99,1427,1043,97.0,2
1250-0-4-7,1045-0-99-99,1250,1045,42.0,2
1214-0-4-7,1046-0-99-99,1214,1046,30.0,2
1411-0-4-7,1046-0-99-99,1411,1046,130.0,2
1313-0-4-7,1047-0-99-99,1313,1047,97.0,2
1520-0-4-7,1047-0-99-99,1520,1047,53.0,2
1574-0-4-7,1049-0-99-99,1574,1049,191.0,2
1252-0-4-7,1050-0-99-99,1252,1050,64.0,2
1522-0-4-7,1050-0-99-99,1522,1050,94.0,2
1280-0-4-7,1051-0-99-99,1280,1051,56.0,2
1328-0-4-7,1051-0-99-99,1328,1051,153.0,2
1266-0-4-7,1052-0-99-99,1266,1052,45.0,2
1447-0-4-7,1052-0-99-99,1447,1052,139.0,2
1464-0-4-7,1052-0-99-99,1464,1052,139.0,2
1495-0-4-7,1052-0-99-99,1495,1052,169.0,2
1538-0-4-7,1052-0-99-99,1538,1052,62.0,2
1591-0-4-7,1055-0-99-99,1591,1055,167.0,2
1425-0-4-7,1056-0-99-99,1425,1056,130.0,2
1444-0-4-7,1056-0-99-99,1444,1056,130.0,2
1619-0-4-7,1056-0-99-99,1619,1056,170.0,2
1200-0-4-7,1057-0-99-99,1200,1057,42.0,2
1277-0-4-7,1057-0-99-99,1277,1057,47.0,2
1539-0-4-7,1057-0-99-99,1539,1057,87.0,2
1601-0-4-7,1057-0-99-99,1601,1057,166.0,2
1122-0-4-7,1058-0-99-99,1122,1058,53.0,2
1270-0-4-7,1058-0-99-99,1270,1058,49.0,2
1450-0-4-7,1058-0-99-99,1450,1058,133.0,2
1411-0-4-7,1059-0-99-99,1411,1059,139.0,2
1090-0-4-7,1060-0-99-99,1090,1060,32.0,2
1484-0-4-7,1062-0-99-99,1484,1062,136.0,2
1544-0-4-7,1063-0-99-99,1544,1063,90.0,2
1621-0-4-7,1063-0-99-99,1621,1063,177.0,2
1110-0-4-7,1065-0-99-99,1110,1065,44.0,2
1122-0-4-7,1065-0-99-99,1122,1065,44.0,2
1202-0-4-7,1065-0-99-99,1202,1065,42.0,2
1424-0-4-7,1065-0-99-99,1424,1065,112.0,2
1572-0-4-7,1065-0-99-99,1572,1065,204.0,2
1122-0-4-7,1066-0-99-99,1122,1066,44.0,2
1263-0-4-7,1067-0-99-99,1263,1067,65.0,2
1120-0-4-7,1068-0-99-99,1120,1068,50.0,2
1330-0-4-7,1068-0-99-99,1330,1068,155.0,2
1602-0-4-7,1068-0-99-99,1602,1068,162.0,2
1606-0-4-7,1068-0-99-99,1606,1068,162.0,2
1483-0-4-7,1070-0-99-99,1483,1070,86.0,2
1510-0-4-7,1076-0-99-99,1510,1076,170.0,2
1600-0-4-7,1076-0-99-99,1600,1076,176.0,2
1039-0-4-7,1078-0-99-99,1039,1078,41.0,2
1524-0-4-7,1078-0-99-99,1524,1078,125.0,2
1562-0-4-7,1078-0-99-99,1562,1078,172.0,2
1365-0-4-7,1080-0-99-99,1365,1080,130.0,2
1143-0-4-7,1085-0-99-99,1143,1085,88.0,2
1513-0-4-7,1090-0-99-99,1513,1090,169.0,2
1132-0-4-7,1104-0-99-99,1132,1104,74.0,2
1389-0-4-7,1113-0-99-99,1389,1113,124.0,2
1286-0-4-7,1114-0-99-99,1286,1114,42.0,2
1022-0-4-7,1116-0-99-99,1022,1116,57.0,2
1400-0-4-7,1118-0-99-99,1400,1118,131.0,2
1116-0-4-7,1124-0-99-99,1116,1124,27.0,2
1412-0-4-7,1139-0-99-99,1412,1139,64.0,2
1524-0-4-7,1141-0-99-99,1524,1141,141.0,2
1046-0-4-7,1142-0-99-99,1046,1142,72.0,2
1130-0-4-7,1145-0-99-99,1130,1145,35.0,2
1153-0-4-7,1146-0-99-99,1153,1146,48.0,2
1382-0-4-7,1150-0-99-99,1382,1150,154.0,2
1133-0-4-7,1156-0-99-99,1133,1156,54.0,2
1572-0-4-7,1157-0-99-99,1572,1157,219.0,2
1544-0-4-7,1160-0-99-99,1544,1160,112.0,2
1176-0-4-7,1168-0-99-99,1176,1168,41.0,2
1212-0-4-7,1170-0-99-99,1212,1170,61.0,2
1588-0-4-7,1180-0-99-99,1588,1180,173.0,2
1595-0-4-7,1187-0-99-99,1595,1187,158.0,2
1186-0-4-7,1202-0-99-99,1186,1202,30.0,2
1223-0-4-7,1203-0-99-99,1223,1203,66.0,2
1139-0-4-7,1211-0-99-99,1139,1211,75.0,2
1166-0-4-7,1218-0-99-99,1166,1218,103.0,2
1523-0-4-7,1218-0-99-99,1523,1218,87.0,2
1554-0-4-7,1218-0-99-99,1554,1218,170.0,2
1620-0-4-7,1220-0-99-99,1620,1220,162.0,2
1197-0-4-7,1227-0-99-99,1197,1227,32.0,2
1233-0-4-7,1227-0-99-99,1233,1227,54.0,2
1560-0-4-7,1243-0-99-99,1560,1243,141.0,2
1575-0-4-7,1243-0-99-99,1575,1243,181.0,2
1224-0-4-7,1247-0-99-99,1224,1247,70.0,2
1251-0-4-7,1247-0-99-99,1251,1247,54.0,2
1524-0-4-7,1253-0-99-99,1524,1253,66.0,2
1383-0-4-7,1260-0-99-99,1383,1260,211.0,2
1110-0-4-7,1272-0-99-99,1110,1272,65.0,2
