INT_ID,bc_single,o_node_time,d_node_time,o_node,d_node
13463082,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13462953,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463372,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463796,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463279,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463058,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
1272,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463705,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463892,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463183,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463537,0.7777777777777778,1001-0-20-57,1272-0-99-99,1001,1272
13463787,0.5555555555555556,1001-0-20-57,1272-0-99-99,1001,1272
13462844,0.8888888888888888,1001-0-20-57,1272-0-99-99,1001,1272
13463573,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463317,0.7777777777777778,1001-0-20-57,1272-0-99-99,1001,1272
1001,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463942,0.6666666666666666,1001-0-20-57,1272-0-99-99,1001,1272
13463293,0.3333333333333333,1001-0-20-57,1272-0-99-99,1001,1272
13463478,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13464709,1.0,1003-0-20-57,1270-0-99-99,1003,1270
13464771,1.0,1003-0-20-57,1270-0-99-99,1003,1270
1270,1.0,1003-0-20-57,1270-0-99-99,1003,1270
13464614,1.0,1003-0-20-57,1270-0-99-99,1003,1270
13464498,1.0,1003-0-20-57,1270-0-99-99,1003,1270
1003,1.0,1003-0-20-57,1270-0-99-99,1003,1270
13464374,1.0,1003-0-20-57,1270-0-99-99,1003,1270
13464286,0.5,1003-0-20-57,1270-0-99-99,1003,1270
13463995,0.6666666666666666,1003-0-20-57,1572-0-99-99,1003,1572
13445495,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13446621,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13442935,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13445621,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13461716,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13447093,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13444364,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13444943,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13446990,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13462283,1.0,1003-0-20-57,1572-0-99-99,1003,1572
224,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13463771,0.8,1003-0-20-57,1572-0-99-99,1003,1572
13461975,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13443640,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13443303,1.0,1003-0-20-57,1572-0-99-99,1003,1572
227,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13446727,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13445921,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13446675,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13451513,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13463183,0.9333333333333333,1003-0-20-57,1572-0-99-99,1003,1572
13499223,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13451762,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13464286,0.6,1003-0-20-57,1572-0-99-99,1003,1572
13450880,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13463420,0.8666666666666667,1003-0-20-57,1572-0-99-99,1003,1572
13462774,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13447211,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13461356,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13448888,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13443453,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13444651,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13446543,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13446051,1.0,1003-0-20-57,1572-0-99-99,1003,1572
226,1.0,1003-0-20-57,1572-0-99-99,1003,1572
225,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13443728,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13452476,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13446875,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13452119,1.0,1003-0-20-57,1572-0-99-99,1003,1572
228,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13446406,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13445741,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13444054,1.0,1003-0-20-57,1572-0-99-99,1003,1572
223,1.0,1003-0-20-57,1572-0-99-99,1003,1572
1572,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13447347,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13446120,1.0,1003-0-20-57,1572-0-99-99,1003,1572
222,1.0,1003-0-20-57,1572-0-99-99,1003,1572
1003,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13443118,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13446227,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13448187,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13445220,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13443365,1.0,1003-0-20-57,1572-0-99-99,1003,1572
13450997,1.0,1003-0-20-57,1572-0-99-99,1003,1572
30022876,0.5,1003-0-20-57,1572-0-99-99,1003,1572
13444502,0.5,1003-0-20-57,1572-0-99-99,1003,1572
13464374,0.2,1003-0-20-57,1572-0-99-99,1003,1572
13464498,0.13333333333333333,1003-0-20-57,1572-0-99-99,1003,1572
213,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13464662,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13463522,1.0,1004-0-20-57,1166-0-99-99,1004,1166
106,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13463796,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13464191,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13464495,1.0,1004-0-20-57,1166-0-99-99,1004,1166
209,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13464892,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13464254,1.0,1004-0-20-57,1166-0-99-99,1004,1166
217,1.0,1004-0-20-57,1166-0-99-99,1004,1166
218,1.0,1004-0-20-57,1166-0-99-99,1004,1166
1166,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13463245,1.0,1004-0-20-57,1166-0-99-99,1004,1166
220,1.0,1004-0-20-57,1166-0-99-99,1004,1166
156,1.0,1004-0-20-57,1166-0-99-99,1004,1166
212,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13462891,1.0,1004-0-20-57,1166-0-99-99,1004,1166
214,1.0,1004-0-20-57,1166-0-99-99,1004,1166
1004,1.0,1004-0-20-57,1166-0-99-99,1004,1166
210,1.0,1004-0-20-57,1166-0-99-99,1004,1166
215,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13464855,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13462518,1.0,1004-0-20-57,1166-0-99-99,1004,1166
216,1.0,1004-0-20-57,1166-0-99-99,1004,1166
211,1.0,1004-0-20-57,1166-0-99-99,1004,1166
219,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13463844,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13463166,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13465276,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13462117,1.0,1004-0-20-57,1166-0-99-99,1004,1166
13463995,0.5,1004-0-20-57,1251-0-99-99,1004,1251
13464498,0.5,1004-0-20-57,1251-0-99-99,1004,1251
13461716,0.5,1004-0-20-57,1251-0-99-99,1004,1251
13462283,0.5,1004-0-20-57,1251-0-99-99,1004,1251
224,1.0,1004-0-20-57,1251-0-99-99,1004,1251
13463771,0.5,1004-0-20-57,1251-0-99-99,1004,1251
13461975,0.5,1004-0-20-57,1251-0-99-99,1004,1251
1251,1.0,1004-0-20-57,1251-0-99-99,1004,1251
13464374,0.5,1004-0-20-57,1251-0-99-99,1004,1251
13463183,0.5,1004-0-20-57,1251-0-99-99,1004,1251
13464286,0.5,1004-0-20-57,1251-0-99-99,1004,1251
13463420,0.5,1004-0-20-57,1251-0-99-99,1004,1251
