date,dow,hour,route,period
2019-11-27,2,5,87,EM
2019-11-27,2,5,21,EM
2019-11-27,2,5,113,EM
2019-11-27,2,5,54,EM
2019-11-27,2,5,17,EM
2019-11-27,2,6,17,EM
2019-11-27,2,5,86,EM
2019-11-27,2,5,43,EM
2019-11-27,2,5,56,EM
2019-11-27,2,5,954,EM
2019-11-27,2,5,34,EM
2019-11-27,2,6,42,EM
2019-11-27,2,6,986,EM
2019-11-27,2,6,60,EM
2019-11-27,2,6,168,EM
2019-11-27,2,6,45,EM
2019-11-27,2,6,47,EM
2019-11-27,2,6,7,EM
2019-11-27,2,6,100,EM
2019-11-27,2,6,144,EM
2019-11-27,2,6,72,EM
2019-11-27,2,6,905,EM
2019-11-27,2,6,954,EM
2019-11-27,2,6,54,EM
2019-11-27,2,6,952,EM
2019-11-27,2,7,952,AM
2019-11-27,2,6,41,EM
2019-11-27,2,7,41,AM
2019-11-27,2,7,941,AM
2019-11-27,2,7,120,AM
2019-11-27,2,7,90,AM
2019-11-27,2,7,26,AM
2019-11-27,2,7,29,AM
2019-11-27,2,7,939,AM
2019-11-27,2,7,56,AM
2019-11-27,2,8,56,AM
2019-11-27,2,8,941,AM
2019-11-27,2,7,35,AM
2019-11-27,2,8,953,AM
2019-11-27,2,8,935,AM
2019-11-27,2,8,167,AM
2019-11-27,2,8,63,AM
2019-11-27,2,8,47,AM
2019-11-27,2,8,937,AM
2019-11-27,2,8,46,AM
2019-11-27,2,9,46,AM
2019-11-27,2,9,68,AM
2019-11-27,2,9,54,AM
2019-11-27,2,9,929,AM
2019-11-27,2,9,41,AM
2019-11-27,2,9,47,AM
2019-11-27,2,11,120,MD
2019-11-27,2,11,7,MD
2019-11-27,2,11,94,MD
2019-11-27,2,11,29,MD
2019-11-27,2,11,501,MD
2019-11-27,2,11,54,MD
2019-11-27,2,11,34,MD
2019-11-27,2,11,939,MD
2019-11-27,2,11,935,MD
2019-11-27,2,11,60,MD
2019-11-27,2,12,60,MD
2019-11-27,2,12,39,MD
2019-11-27,2,12,939,MD
2019-11-27,2,12,44,MD
2019-11-27,2,12,36,MD
2019-11-27,2,12,100,MD
2019-11-27,2,12,29,MD
2019-11-27,2,12,57,MD
2019-11-27,2,12,45,MD
2019-11-27,2,12,76,MD
2019-11-27,2,12,108,MD
2019-11-27,2,13,108,MD
2019-11-27,2,12,25,MD
2019-11-27,2,12,38,MD
2019-11-27,2,12,16,MD
2019-11-27,2,13,16,MD
2019-11-27,2,12,32,MD
2019-11-27,2,12,89,MD
2019-11-27,2,12,7,MD
2019-11-27,2,12,53,MD
2019-11-27,2,12,102,MD
2019-11-27,2,13,102,MD
2019-11-27,2,13,929,MD
2019-11-27,2,13,53,MD
2019-11-27,2,13,52,MD
2019-11-27,2,13,29,MD
2019-11-27,2,13,111,MD
2019-11-27,2,13,41,MD
2019-11-27,2,13,36,MD
2019-11-27,2,13,927,MD
2019-11-27,2,13,95,MD
2019-11-27,2,13,47,MD
2019-11-27,2,13,902,MD
2019-11-27,2,17,129,PM
2019-11-27,2,17,95,PM
2019-11-27,2,17,160,PM
2019-11-27,2,17,935,PM
2019-11-27,2,17,939,PM
2019-11-27,2,17,126,PM
2019-11-27,2,18,126,PM
2019-11-27,2,17,36,PM
2019-11-27,2,18,95,PM
2019-11-27,2,18,116,PM
2019-11-27,2,18,87,PM
2019-11-27,2,18,35,PM
2019-11-27,2,18,21,PM
2019-11-27,2,18,68,PM
2019-11-27,2,19,40,PM
2019-11-27,2,19,102,PM
2019-11-27,2,19,124,PM
2019-11-27,2,19,52,PM
2019-11-27,2,19,36,PM
2019-11-27,2,20,102,EV
2019-11-27,2,20,79,EV
2019-11-27,2,21,79,EV
2019-11-27,2,21,22,EV
2019-11-27,2,21,80,EV
2019-11-27,2,21,81,EV
2019-11-27,2,22,116,EV
2019-11-28,3,4,935,EM
2019-11-28,3,4,25,EM
2019-11-28,3,5,87,EM
2019-11-28,3,5,17,EM
2019-11-28,3,5,107,EM
2019-11-28,3,5,945,EM
2019-11-28,3,5,43,EM
2019-11-28,3,5,116,EM
2019-11-28,3,5,85,EM
2019-11-28,3,6,85,EM
2019-11-28,3,5,32,EM
2019-11-28,3,5,79,EM
2019-11-28,3,5,25,EM
2019-11-28,3,5,95,EM
2019-11-28,3,5,52,EM
2019-11-28,3,6,52,EM
2019-11-28,3,5,900,EM
2019-11-28,3,6,900,EM
2019-11-28,3,5,67,EM
2019-11-28,3,6,64,EM
2019-11-28,3,6,37,EM
2019-11-28,3,6,116,EM
2019-11-28,3,6,110,EM
2019-11-28,3,6,945,EM
2019-11-28,3,6,68,EM
2019-11-28,3,6,104,EM
2019-11-28,3,6,86,EM
2019-11-28,3,6,25,EM
2019-11-28,3,6,54,EM
2019-11-28,3,6,16,EM
2019-11-28,3,6,986,EM
2019-11-28,3,6,95,EM
2019-11-28,3,6,60,EM
2019-11-28,3,6,117,EM
2019-11-28,3,6,48,EM
2019-11-28,3,6,91,EM
2019-11-28,3,6,17,EM
2019-11-28,3,6,47,EM
2019-11-28,3,6,925,EM
2019-11-28,3,6,935,EM
2019-11-28,3,6,937,EM
2019-11-28,3,7,37,AM
2019-11-28,3,8,37,AM
2019-11-28,3,9,37,AM
2019-11-28,3,11,37,MD
2019-11-28,3,12,37,MD
2019-11-28,3,13,37,MD
2019-11-28,3,6,985,EM
2019-11-28,3,6,81,EM
2019-11-28,3,6,42,EM
2019-11-28,3,6,63,EM
2019-11-28,3,7,52,AM
2019-11-28,3,7,85,AM
2019-11-28,3,7,54,AM
2019-11-28,3,7,168,AM
2019-11-28,3,7,17,AM
2019-11-28,3,7,952,AM
2019-11-28,3,7,7,AM
2019-11-28,3,7,127,AM
2019-11-28,3,7,26,AM
2019-11-28,3,7,124,AM
2019-11-28,3,7,90,AM
2019-11-28,3,7,927,AM
2019-11-28,3,7,996,AM
2019-11-28,3,7,36,AM
2019-11-28,3,7,29,AM
2019-11-28,3,8,985,AM
2019-11-28,3,8,25,AM
2019-11-28,3,8,110,AM
2019-11-28,3,8,6,AM
2019-11-28,3,9,935,AM
2019-11-28,3,9,95,AM
2019-11-28,3,9,165,AM
2019-11-28,3,11,900,MD
2019-11-28,3,11,73,MD
2019-11-28,3,11,89,MD
2019-11-28,3,11,32,MD
2019-11-28,3,12,39,MD
2019-11-28,3,12,939,MD
2019-11-28,3,12,25,MD
2019-11-28,3,12,12,MD
2019-11-28,3,12,73,MD
2019-11-28,3,12,100,MD
2019-11-28,3,12,24,MD
2019-11-28,3,13,24,MD
2019-11-28,3,12,29,MD
2019-11-28,3,12,84,MD
2019-11-28,3,12,86,MD
2019-11-28,3,13,32,MD
2019-11-28,3,13,102,MD
2019-11-28,3,13,45,MD
2019-11-28,3,13,25,MD
2019-11-28,3,13,53,MD
2019-11-28,3,17,65,PM
2019-11-28,3,17,53,PM
2019-11-28,3,17,7,PM
2019-11-28,3,17,25,PM
2019-11-28,3,17,12,PM
2019-11-28,3,17,939,PM
2019-11-28,3,17,34,PM
2019-11-28,3,17,43,PM
2019-11-28,3,17,945,PM
2019-11-28,3,17,36,PM
2019-11-28,3,17,952,PM
2019-11-28,3,17,996,PM
2019-11-28,3,17,925,PM
2019-11-28,3,17,168,PM
2019-11-28,3,17,97,PM
2019-11-28,3,18,97,PM
2019-11-28,3,17,984,PM
2019-11-28,3,18,984,PM
2019-11-28,3,18,89,PM
2019-11-28,3,18,96,PM
2019-11-28,3,18,95,PM
2019-11-28,3,18,29,PM
2019-11-28,3,18,63,PM
2019-11-28,3,18,22,PM
2019-11-28,3,18,102,PM
2019-11-28,3,19,102,PM
2019-11-28,3,18,38,PM
2019-11-28,3,19,38,PM
2019-11-28,3,19,29,PM
2019-11-28,3,19,11,PM
2019-11-28,3,20,11,EV
2019-11-28,3,20,94,EV
2019-11-28,3,20,929,EV
2019-11-28,3,20,24,EV
2019-11-28,3,20,39,EV
2019-11-28,3,20,73,EV
2019-11-28,3,21,73,EV
2019-11-28,3,21,22,EV
2019-11-28,3,21,16,EV
2019-11-28,3,21,32,EV
2019-11-28,3,21,76,EV
2019-11-28,3,21,24,EV
2019-11-28,3,21,12,EV
2019-11-28,3,21,54,EV
2019-11-28,3,21,57,EV
2019-11-28,3,21,68,EV
2019-11-28,3,21,939,EV
2019-11-28,3,21,79,EV
2019-11-28,3,22,79,EV
2019-11-28,3,22,165,EV
2019-11-28,3,22,72,EV
2019-11-29,4,4,54,EM
2019-11-29,4,4,100,EM
2019-11-29,4,5,54,EM
2019-11-29,4,5,100,EM
2019-11-29,4,5,116,EM
2019-11-29,4,5,36,EM
2019-11-29,4,5,76,EM
2019-11-29,4,5,34,EM
2019-11-29,4,5,89,EM
2019-11-29,4,5,95,EM
2019-11-29,4,5,46,EM
2019-11-29,4,5,133,EM
2019-11-29,4,6,133,EM
2019-11-29,4,5,132,EM
2019-11-29,4,6,132,EM
2019-11-29,4,6,86,EM
2019-11-29,4,6,101,EM
2019-11-29,4,6,116,EM
2019-11-29,4,6,60,EM
2019-11-29,4,6,100,EM
2019-11-29,4,6,939,EM
2019-11-29,4,6,9,EM
2019-11-29,4,6,35,EM
2019-11-29,4,6,25,EM
2019-11-29,4,6,54,EM
2019-11-29,4,6,63,EM
2019-11-29,4,6,52,EM
2019-11-29,4,6,47,EM
2019-11-29,4,6,32,EM
2019-11-29,4,6,95,EM
2019-11-29,4,6,17,EM
2019-11-29,4,7,32,AM
2019-11-29,4,7,123,AM
2019-11-29,4,7,17,AM
2019-11-29,4,7,47,AM
2019-11-29,4,7,23,AM
2019-11-29,4,7,57,AM
2019-11-29,4,7,7,AM
2019-11-29,4,7,100,AM
2019-11-29,4,7,984,AM
2019-11-29,4,7,21,AM
2019-11-29,4,7,986,AM
2019-11-29,4,7,952,AM
2019-11-29,4,7,52,AM
2019-11-29,4,7,84,AM
2019-11-29,4,7,54,AM
2019-11-29,4,7,929,AM
2019-11-29,4,8,929,AM
2019-11-29,4,7,29,AM
2019-11-29,4,8,29,AM
2019-11-29,4,7,937,AM
2019-11-29,4,7,44,AM
2019-11-29,4,7,63,AM
2019-11-29,4,8,63,AM
2019-11-29,4,7,95,AM
2019-11-29,4,8,95,AM
2019-11-29,4,7,985,AM
2019-11-29,4,8,985,AM
2019-11-29,4,7,79,AM
2019-11-29,4,8,79,AM
2019-11-29,4,8,68,AM
2019-11-29,4,8,59,AM
2019-11-29,4,8,32,AM
2019-11-29,4,8,124,AM
2019-11-29,4,8,36,AM
2019-11-29,4,8,952,AM
2019-11-29,4,8,112,AM
2019-11-29,4,8,6,AM
2019-11-29,4,8,42,AM
2019-11-29,4,9,944,AM
2019-11-29,4,9,43,AM
2019-11-29,4,9,26,AM
2019-11-29,4,9,86,AM
2019-11-29,4,9,57,AM
2019-11-29,4,9,89,AM
2019-11-29,4,9,97,AM
